rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
222,frame_0323.jpg,129.2,0.3214,0.4947,0.1667,0.12,7,1,False,False
223,frame_0115.jpg,46.0,0.3191,0.5102,0.0,0.32,6,0,False,False
224,frame_0324.jpg,129.6,0.3173,0.4027,0.3333,0.08,6,2,False,False
225,frame_0175.jpg,70.0,0.3151,0.5182,0.0,0.28,5,0,False,False
226,frame_0271.jpg,108.4,0.3128,0.4096,0.3333,0.04,4,2,False,False
227,frame_0195.jpg,78.0,0.3123,0.4965,0.0,0.32,4,0,False,False
228,frame_0092.jpg,36.8,0.308,0.404,0.1667,0.28,3,1,False,False
229,frame_0086.jpg,34.4,0.3075,0.407,0.0,0.52,4,0,False,False
230,frame_0272.jpg,108.8,0.3037,0.3754,0.3333,0.08,5,2,False,False
231,frame_0313.jpg,125.2,0.2972,0.4783,0.1667,0.04,3,1,False,False
232,frame_0314.jpg,125.6,0.2972,0.3625,0.3333,0.08,5,2,False,False
233,frame_0025.jpg,10.0,0.2916,0.1831,0.0,1.0,2,0,False,False
234,frame_0219.jpg,87.6,0.2908,0.3535,0.1667,0.32,4,1,False,False
235,frame_0381.jpg,152.4,0.2898,0.5636,0.0,0.04,6,0,False,False
236,frame_0197.jpg,78.8,0.2874,0.3147,0.1667,0.4,2,1,False,False
237,frame_0220.jpg,88.0,0.2863,0.4607,0.0,0.28,3,0,False,False
238,frame_0208.jpg,83.2,0.2845,0.265,0.0,0.76,5,0,False,False
239,frame_0123.jpg,49.2,0.2837,0.3114,0.0,0.64,6,0,False,False
240,frame_0269.jpg,107.6,0.2833,0.5505,0.0,0.04,4,0,False,False
241,frame_0183.jpg,73.2,0.2803,0.4446,0.1667,0.04,4,1,False,False
242,frame_0117.jpg,46.8,0.279,0.2979,0.1667,0.4,4,1,False,False
243,frame_0216.jpg,86.4,0.2774,0.3788,0.0,0.44,2,0,False,False
244,frame_0189.jpg,75.6,0.2744,0.4167,0.1667,0.08,4,1,False,False
245,frame_0102.jpg,40.8,0.2646,0.3812,0.1667,0.12,6,1,False,False
246,frame_0192.jpg,76.8,0.2634,0.3468,0.1667,0.2,5,1,False,False
247,frame_0213.jpg,85.2,0.2605,0.2969,0.0,0.56,4,0,False,False
248,frame_0109.jpg,43.6,0.2602,0.3884,0.1667,0.08,6,1,False,False
249,frame_0218.jpg,87.2,0.237,0.33,0.0,0.36,4,0,False,False
250,frame_0119.jpg,47.6,0.2338,0.2756,0.0,0.48,5,0,False,False
251,frame_0178.jpg,71.2,0.2121,0.2602,0.1667,0.16,5,1,False,False
252,frame_0224.jpg,89.6,0.21,0.372,0.0,0.12,4,0,False,False
253,frame_0110.jpg,44.0,0.2067,0.2654,0.1667,0.12,5,1,False,False
254,frame_0112.jpg,44.8,0.2046,0.3292,0.0,0.2,4,0,False,False
255,frame_0200.jpg,80.0,0.1929,0.1778,0.0,0.52,2,0,False,False
256,frame_0101.jpg,40.4,0.1689,0.3059,0.0,0.08,4,0,False,False
